Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.541318    5865 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.541686    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.542039    5865 tlsconfig.go:243] "Starting DynamicServingCertificateController"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.543025    5865 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.544186    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.545700    5865 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.545727    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.635713    5865 controller.go:667] quota admission added evaluator for: replicasets.apps
Feb 21 00:06:39 control k3s[5865]: time="2026-02-21T00:06:39Z" level=info msg="Creating service-lb-controller event broadcaster"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.714521    5865 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.43.0.0/16
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.715598    5865 event.go:389] "Event occurred" object="kube-system/runtimes" fieldPath="" kind="Addon" apiVersion="k3s.cattle.io/v1" type="Normal" reason="AppliedManifest" message="Applied manifest at \"/var/lib/rancher/k3s/server/manifests/runtimes.yaml\""
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.742223    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.745973    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: W0221 00:06:39.799107    5865 handler_proxy.go:99] no RequestInfo found in the context
Feb 21 00:06:39 control k3s[5865]: E0221 00:06:39.799391    5865 controller.go:146] "Unhandled Error" err=<
Feb 21 00:06:39 control k3s[5865]:         Error updating APIService "v1beta1.metrics.k8s.io" with err: failed to download v1beta1.metrics.k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
Feb 21 00:06:39 control k3s[5865]:         , Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
